student_id,topic,quiz_score,reading_time_seconds,quiz_time_seconds,attempts,hints_used,wrong_answers,correct_answers,mood,ease_rating,confidence_score,previous_score,improvement_rate,mistake_type,learning_style,proof_of_thought_score,socratic_engagement,teaching_verification,cognitive_depth,effort_consistency,needs_support,recommended_difficulty,learning_pace
S082,Fractions,74,395,286,1,0,3,8,confident,2,66,79,-5,reading_mistake,audio,99,90,16,72,66,0,medium,normal
S029,Algebra,61,289,314,2,1,5,6,need_revision,2,72,57,4,repeated_topic_weakness,step_by_step,47,49,64,55,75,1,medium,normal
S055,Fractions,39,270,409,2,7,6,4,confident,2,34,39,0,calculation_mistake,audio,75,92,74,61,47,1,easy,normal
S072,Algebra,79,105,112,1,0,2,9,need_revision,1,89,89,-10,repeated_topic_weakness,step_by_step,73,29,86,56,63,0,medium,normal
S054,Algebra,88,304,210,2,2,2,9,confused,2,87,85,3,reading_mistake,visual,73,57,100,39,58,0,hard,fast
S055,Geometry,73,278,158,3,1,3,7,confident,3,66,87,-14,calculation_mistake,text,42,87,68,53,80,1,medium,normal
S049,Fractions,59,167,263,3,1,4,6,confused,3,56,65,-6,reading_mistake,step_by_step,76,30,51,57,57,1,medium,normal
S094,Photosynthesis,48,407,224,2,4,5,6,confused,3,10,38,10,careless_mistake,visual,99,75,42,44,81,1,easy,slow
S074,Algebra,48,350,438,2,2,6,5,need_revision,3,40,59,-11,concept_confusion,audio,84,40,54,81,76,0,easy,slow
S011,Algebra,15,595,416,1,4,8,2,want_challenge,3,15,26,-11,careless_mistake,text,80,47,48,76,77,1,easy,slow
S021,Geometry,59,656,406,5,1,5,6,confused,1,46,72,-13,repeated_topic_weakness,text,84,40,49,37,81,1,medium,normal
S078,Algebra,90,567,382,1,0,1,9,confused,4,88,96,-6,calculation_mistake,audio,76,57,82,86,49,0,hard,fast
S082,Essay Writing,82,78,339,1,1,3,8,confident,3,89,71,11,reading_mistake,visual,67,74,55,75,85,0,hard,fast
S005,Geometry,58,114,321,4,2,4,8,confused,1,43,71,-13,concept_confusion,audio,97,46,31,73,48,0,medium,slow
S028,Photosynthesis,41,72,349,2,3,6,4,confused,1,59,51,-10,repeated_topic_weakness,practice,34,67,56,61,56,1,easy,slow
S096,Essay Writing,58,221,228,2,0,4,6,confused,3,78,55,3,time_pressure,practice,86,57,55,91,63,1,medium,normal
S066,Photosynthesis,50,25,242,2,0,6,5,confident,3,58,63,-13,concept_confusion,visual,77,93,38,96,59,0,medium,normal
S081,Algebra,39,475,344,2,3,6,4,need_revision,3,63,28,11,careless_mistake,step_by_step,41,53,75,100,71,1,easy,slow
S068,Geometry,84,864,454,4,1,4,9,want_challenge,2,70,80,4,concept_confusion,visual,75,47,60,50,61,0,hard,fast
S088,Essay Writing,81,37,395,3,0,3,9,need_revision,4,100,89,-8,repeated_topic_weakness,text,58,63,86,75,53,0,hard,fast
S056,Algebra,47,192,379,2,3,5,5,confused,3,45,51,-4,repeated_topic_weakness,text,100,81,29,51,88,1,easy,normal
S081,Geometry,41,468,362,1,3,6,4,need_revision,3,36,43,-2,time_pressure,step_by_step,86,61,66,54,87,1,easy,slow
S098,Algebra,54,667,164,1,1,5,7,confused,3,66,42,12,time_pressure,visual,55,55,71,89,82,1,medium,slow
S003,Fractions,61,35,269,1,0,4,7,want_challenge,2,68,73,-12,reading_mistake,audio,71,73,56,64,70,0,medium,normal
S008,Algebra,66,1045,222,1,1,4,8,want_challenge,2,80,78,-12,concept_confusion,visual,50,50,40,91,58,0,medium,normal
S094,Photosynthesis,47,184,267,1,2,5,5,need_revision,1,37,34,13,time_pressure,audio,61,74,94,74,68,0,easy,normal
S085,Photosynthesis,63,499,271,1,1,7,6,want_challenge,2,62,53,10,calculation_mistake,text,76,98,71,63,93,0,medium,normal
S068,Essay Writing,77,424,164,1,0,2,8,confused,2,82,63,14,calculation_mistake,step_by_step,79,43,58,64,100,1,medium,normal
S089,Algebra,67,573,455,1,1,3,7,need_revision,3,87,53,14,careless_mistake,text,74,60,97,85,56,0,medium,normal
S057,Essay Writing,67,388,97,1,1,4,9,confused,4,68,53,14,calculation_mistake,audio,60,82,36,57,68,1,medium,normal
S003,Essay Writing,42,177,348,3,2,6,4,stressed,2,30,55,-13,time_pressure,audio,71,50,22,70,51,1,easy,normal
S030,Fractions,41,79,496,2,3,7,4,want_challenge,2,41,49,-8,reading_mistake,visual,76,100,58,47,37,1,easy,slow
S086,Photosynthesis,82,676,201,1,0,2,8,confident,2,68,71,11,calculation_mistake,step_by_step,75,34,33,64,64,0,hard,fast
S074,Photosynthesis,22,181,270,3,3,8,2,confident,5,25,33,-11,careless_mistake,practice,86,32,76,46,62,1,easy,normal
S085,Photosynthesis,53,57,213,2,1,6,5,confused,2,64,61,-8,careless_mistake,practice,86,71,70,95,88,1,medium,normal
S087,Fractions,63,68,364,2,0,4,7,confident,2,37,71,-8,repeated_topic_weakness,text,94,47,80,82,81,0,medium,normal
S014,Algebra,50,159,543,1,3,7,5,confident,3,73,63,-13,time_pressure,practice,76,51,55,51,75,1,medium,normal
S036,Photosynthesis,56,328,79,2,1,4,6,confident,3,71,55,1,concept_confusion,practice,53,22,84,73,34,0,medium,normal
S007,Essay Writing,19,171,443,3,4,8,4,need_revision,2,24,7,12,concept_confusion,audio,100,68,58,76,89,1,easy,slow
S062,Algebra,56,48,375,3,1,4,6,want_challenge,2,58,48,8,concept_confusion,audio,86,26,52,75,73,0,medium,slow
S001,Photosynthesis,82,269,206,1,2,3,8,confident,2,74,70,12,careless_mistake,text,71,81,31,90,67,0,hard,fast
S094,Essay Writing,56,487,385,2,0,5,6,stressed,1,39,64,-8,careless_mistake,audio,67,36,70,45,83,1,medium,normal
S008,Essay Writing,51,217,234,3,2,5,5,need_revision,1,22,59,-8,concept_confusion,text,67,63,100,37,90,0,medium,normal
S007,Essay Writing,11,224,424,1,2,10,1,confused,1,0,18,-7,time_pressure,audio,100,54,85,27,75,1,easy,normal
S024,Fractions,65,271,158,1,2,4,8,stressed,1,51,67,-2,repeated_topic_weakness,audio,76,34,83,56,62,1,medium,normal
S073,Algebra,85,90,431,1,1,2,8,stressed,1,88,91,-6,concept_confusion,step_by_step,68,52,70,65,70,0,hard,fast
S073,Essay Writing,38,248,287,3,3,7,4,confident,3,47,27,11,reading_mistake,audio,73,40,73,25,85,1,easy,slow
S031,Geometry,74,69,462,1,2,3,7,confused,4,81,77,-3,repeated_topic_weakness,text,55,62,60,76,68,1,medium,normal
S097,Fractions,79,894,450,2,1,2,8,confident,3,82,90,-11,time_pressure,step_by_step,36,79,57,64,72,0,medium,normal
